timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
02-01-2026,139.6,140.6147,137.74,139.56,138.7293743,20071885,0,1
03-01-2026,138.6,141.09,138.43,140.36,139.5246129,18974308,0,1
04-01-2026,139.85,140.635,138.01,138.04,137.218421,18253331,0,1
05-01-2026,138.352,138.81,136.85,137.39,136.5722896,15140136,0,1
08-01-2026,138,140.64,137.88,140.53,139.6936011,17645293,0,1
09-01-2026,140.06,142.7998,139.79,142.56,141.7115191,19579667,0,1
10-01-2026,142.52,144.525,142.46,143.8,142.9441389,16641881,0,1
11-01-2026,144.895,146.66,142.215,143.67,142.8149126,17471130,0,1
12-01-2026,144.34,144.74,143.36,144.24,143.3815201,13998729,0,1
16-01-2026,143.43,145.84,143.0564,144.08,143.2224724,19198939,0,1
17-01-2026,142.91,143.41,140.51,142.89,142.039555,17884548,0,1
18-01-2026,143.44,145.585,143.35,144.99,144.1270563,18876800,0,1
19-01-2026,146.305,148.04,145.8,147.97,147.0893201,27181032,0,1
22-01-2026,148.71,150.015,147.58,147.71,146.8308676,21829232,0,1
23-01-2026,147.72,148.86,147.19,148.68,147.7950944,14113649,0,1
24-01-2026,150.29,151.57,149.84,150.35,149.455155,18892741,0,1
25-01-2026,151.74,154.76,151.22,153.64,152.7255737,21495120,0,1
26-01-2026,152.87,154.11,152.8,153.79,152.874681,19494488,0,1
29-01-2026,153.64,155.2,152.92,154.84,153.9184316,20909258,0,1
30-01-2026,154.01,155.04,152.775,153.05,152.1390853,26578934,0,1
31-01-2026,145.39,145.59,141.55,141.8,140.9560424,43908584,0,1
01-02-2026,143.69,144.62,142.26,142.71,141.8606263,25526855,0,1
02-02-2026,140.89,143.88,138.17,143.54,142.6856864,42136127,0,1
05-02-2026,144.04,146.67,143.91,144.93,144.0674134,29254444,0,1
06-02-2026,145.96,146.74,144.52,145.41,144.5445566,21517655,0,1
07-02-2026,146.12,147,145.2103,146.68,145.8069979,21436126,0,1
08-02-2026,146.97,147.61,146.42,147.22,146.3437839,18241319,0,1
09-02-2026,147.95,150.695,147.43,150.22,149.3259287,21877693,0,1
12-02-2026,149.54,150.59,148.56,148.73,147.8447968,17236108,0,1
